loincName	loincId	loincScale	outcome	hpoTermId	supplementalTermId	curation	comment
Eosinophils/100 leukocytes in Blood by Automated count	713-8	Qn	N	HP:0001879	.	JGM:lccarmody[2018-09-14]	copied from: 714-6
Eosinophils/100 leukocytes in Blood by Automated count	713-8	Qn	H	HP:0001880	.	JGM:lccarmody[2018-09-14]	copied from: 714-6
Eosinophils/100 leukocytes in Blood by Manual count	714-6	Qn	L	HP:0031891	.	JGM:lccarmody[2018-09-14]	.
Eosinophils/100 leukocytes in Blood by Manual count	714-6	Qn	N	HP:0001879	.	JGM:lccarmody[2018-09-14]	.
Eosinophils/100 leukocytes in Blood by Manual count	714-6	Qn	H	HP:0001880	.	JGM:lccarmody[2018-09-14]	.
Hemoglobin [Mass/volume] in Blood	718-7	Qn	L	HP:0020062	.	JGM:Aaron[2018-03-20];JGM:azhang[2018-10-17]	.
Hemoglobin [Mass/volume] in Blood	718-7	Qn	N	HP:0020061	.	JGM:Aaron[2018-03-20];JGM:azhang[2018-10-17]	.
Hemoglobin [Mass/volume] in Blood	718-7	Qn	H	HP:0020063	.	JGM:Aaron[2018-03-20];JGM:azhang[2018-10-17]	.
Free Hemoglobin [Mass/volume] in Plasma	721-1	Qn	N	HP:0011902	.	UCD:tjcallahan[2019-02-23]	.
Free Hemoglobin [Mass/volume] in Plasma	721-1	Qn	H	HP:0001900	.	UCD:tjcallahan[2019-02-23]	.
Hemoglobin [Presence] in Urine	725-2	Ord	NEG	HP:0003641	.	JGM:azhang[2018-07-24]	.
Hemoglobin [Presence] in Urine	725-2	Ord	POS	HP:0003641	.	JGM:azhang[2018-07-24]	.
Hemoglobin [Mass/volume] in Urine	726-0	Qn	N	HP:0003641	.	JGM:azhang[2018-07-24];JGM:azhang[2018-10-17]	.
Hemoglobin [Mass/volume] in Urine	726-0	Qn	H	HP:0003641	.	JGM:azhang[2018-07-24];JGM:azhang[2018-10-17]	.
Hypochromia [Presence] in Blood by Light microscopy	728-6	Ord	NEG	HP:0001931	.	HPO:nvasilevsky[2018-09-26]	.
Hypochromia [Presence] in Blood by Light microscopy	728-6	Ord	POS	HP:0001931	.	HPO:nvasilevsky[2018-09-26]	.
Leukocytes other [#/volume] in Blood by Manual count	729-4	Qn	N	HP:0011893	.	HPO:nvasilevsky[2019-05-21]	.
Leukocytes other [#/volume] in Blood by Manual count	729-4	Qn	H	HP:0001974	.	HPO:nvasilevsky[2019-05-21]	.
Lymphocytes [#/volume] in Blood by Automated count	731-0	Qn	L	HP:0001888	.	JGM:Aaron[2018-03-22]	.
Lymphocytes [#/volume] in Blood by Automated count	731-0	Qn	N	HP:0040088	.	JGM:Aaron[2018-03-22]	.
Lymphocytes [#/volume] in Blood by Automated count	731-0	Qn	H	HP:0100827	.	JGM:Aaron[2018-03-22]	.
Variant lymphocytes/100 leukocytes in Blood by Manual count	735-1	Qn	N	HP:0004332	.	UCD:tjcallahan[2019-02-01]	UCDenver survey results
Variant lymphocytes/100 leukocytes in Blood by Manual count	735-1	Qn	H	HP:0004332	.	UCD:tjcallahan[2019-02-01]	UCDenver survey results
Lymphocytes/100 leukocytes in Blood by Automated count	736-9	Qn	L	HP:0001888	.	JGM:azhang[2018-09-25]	.
Lymphocytes/100 leukocytes in Blood by Automated count	736-9	Qn	N	HP:0040088	.	JGM:azhang[2018-09-25]	.
Lymphocytes/100 leukocytes in Blood by Automated count	736-9	Qn	H	HP:0100827	.	JGM:azhang[2018-09-25]	.
Lymphocytes/100 leukocytes in Blood by Manual count	737-7	Qn	L	HP:0001888	.	JGM:azhang[2018-09-25]	.
Lymphocytes/100 leukocytes in Blood by Manual count	737-7	Qn	N	HP:0040088	.	JGM:azhang[2018-09-25]	.
Lymphocytes/100 leukocytes in Blood by Manual count	737-7	Qn	H	HP:0100827	.	JGM:azhang[2018-09-25]	.
Macrocytes [Presence] in Blood by Light microscopy	738-5	Ord	NEG	HP:0001972	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
Macrocytes [Presence] in Blood by Light microscopy	738-5	Ord	POS	HP:0001972	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
Metamyelocytes [#/volume] in Blood by Manual count	739-3	Qn	N	HP:0032238	.	UCD:tjcallahan[2019-02-23];JGM:azhang[2019-05-03]	.
Metamyelocytes [#/volume] in Blood by Manual count	739-3	Qn	H	HP:0032238	.	UCD:tjcallahan[2019-02-23];JGM:azhang[2019-05-03]	.
Metamyelocytes/100 leukocytes in Blood by Manual count	740-1	Qn	N	HP:0012137	.	UCD:tjcallahan[2019-02-23]	.
Metamyelocytes/100 leukocytes in Blood by Manual count	740-1	Qn	H	HP:0032238	.	UCD:tjcallahan[2019-02-23]	.
Microcytes [Presence] in Blood by Light microscopy	741-9	Ord	NEG	HP:0001935	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
Microcytes [Presence] in Blood by Light microscopy	741-9	Ord	POS	HP:0001935	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
Monocytes [#/volume] in Blood by Automated count	742-7	Qn	L	HP:0012312	.	JGM:Aaron[2018-03-22]	.
Monocytes [#/volume] in Blood by Automated count	742-7	Qn	N	HP:0012310	.	JGM:Aaron[2018-03-22]	.
Monocytes [#/volume] in Blood by Automated count	742-7	Qn	H	HP:0012311	.	JGM:Aaron[2018-03-22]	.
Monocytes/100 leukocytes in Blood by Manual count	744-3	Qn	L	HP:0012312	.	JGM:azhang[2018-09-25]	.
Monocytes/100 leukocytes in Blood by Manual count	744-3	Qn	N	HP:0012310	.	JGM:azhang[2018-09-25]	.
Monocytes/100 leukocytes in Blood by Manual count	744-3	Qn	H	HP:0012311	.	JGM:azhang[2018-09-25]	.
Myelocytes [#/volume] in Blood by Manual count	748-4	Qn	N	HP:0010974	.	UCD:tjcallahan[2019-02-23]	.
Myelocytes [#/volume] in Blood by Manual count	748-4	Qn	H	HP:0032237	.	UCD:tjcallahan[2019-02-23]	.
Myelocytes/100 leukocytes in Blood by Manual count	749-2	Qn	N	HP:0010974	.	UCD:tjcallahan[2019-02-23]	.
Myelocytes/100 leukocytes in Blood by Manual count	749-2	Qn	H	HP:0032237	.	UCD:tjcallahan[2019-02-23]	.
Neutrophils [#/volume] in Blood by Automated count	751-8	Qn	L	HP:0001875	.	JGM:Aaron[2018-03-27]	.
Neutrophils [#/volume] in Blood by Automated count	751-8	Qn	N	HP:0011991	.	JGM:Aaron[2018-03-27]	.
Neutrophils [#/volume] in Blood by Automated count	751-8	Qn	H	HP:0011897	.	JGM:Aaron[2018-03-27]	.
Neutrophils [#/volume] in Blood by Manual count	753-4	Qn	L	HP:0001875	.	HPO:nvasilevsky[2019-01-15]	.
Neutrophils [#/volume] in Blood by Manual count	753-4	Qn	N	HP:0011991	.	HPO:nvasilevsky[2019-01-15]	.
Neutrophils [#/volume] in Blood by Manual count	753-4	Qn	H	HP:0011897	.	HPO:nvasilevsky[2019-01-15]	.
Neutrophils [#/volume] in Urine by Automated count	761-7	Qn	N	HP:0012614	.	HPO:nvasilevsky[2019-05-15]	.
Neutrophils [#/volume] in Urine by Automated count	761-7	Qn	H	HP:0012085	.	HPO:nvasilevsky[2019-05-15]	.
Band form neutrophils [#/volume] in Blood by Manual count	763-3	Qn	N	HP:0011991	.	JGM:lccarmody[2019-05-08]	.
Band form neutrophils [#/volume] in Blood by Manual count	763-3	Qn	H	HP:0032239	.	JGM:lccarmody[2019-05-08]	.
Neutrophils.hypersegmented [#/volume] in Blood by Manual count	766-6	Qn	N	HP:0004821	.	HPO:nvasilevsky[2019-06-14]	.
Neutrophils.hypersegmented [#/volume] in Blood by Manual count	766-6	Qn	H	HP:0004821	.	HPO:nvasilevsky[2019-06-14]	.
Neutrophils/100 leukocytes in Blood by Automated count	770-8	Qn	L	HP:0001875	.	OHSU:JP[2018-10-18]	.
Neutrophils/100 leukocytes in Blood by Automated count	770-8	Qn	N	HP:0011991	.	OHSU:JP[2018-10-18]	.
Neutrophils/100 leukocytes in Blood by Automated count	770-8	Qn	H	HP:0011897	.	OHSU:JP[2018-10-18]	.
Platelets [#/volume] in Blood by Automated count	777-3	Qn	L	HP:0001873	.	JGM:Aaron[2018-03-20]	.
Platelets [#/volume] in Blood by Automated count	777-3	Qn	N	HP:0011873	.	JGM:Aaron[2018-03-20]	.
Platelets [#/volume] in Blood by Automated count	777-3	Qn	H	HP:0001894	.	JGM:Aaron[2018-03-20]	.
Platelets [#/volume] in Blood by Manual count	778-1	Qn	L	HP:0001873	.	JGM:lccarmody[2019-05-08]	.
Platelets [#/volume] in Blood by Manual count	778-1	Qn	N	HP:0011873	.	JGM:lccarmody[2019-05-08]	.
Platelets [#/volume] in Blood by Manual count	778-1	Qn	H	HP:0001894	.	JGM:lccarmody[2019-05-08]	.
Poikilocytosis [Presence] in Blood by Light microscopy	779-9	Ord	NEG	HP:0004447	.	JGM:azhang[2018-07-24]	.
Poikilocytosis [Presence] in Blood by Light microscopy	779-9	Ord	POS	HP:0004447	.	JGM:azhang[2018-07-24]	.
Erythrocyte mean corpuscular diameter [Length] by Automated count	784-9	Qn	L	HP:0025066	.	JGM:azhang[2018-10-12]	.
Erythrocyte mean corpuscular diameter [Length] by Automated count	784-9	Qn	N	HP:0025065	.	JGM:azhang[2018-10-12]	.
Erythrocyte mean corpuscular diameter [Length] by Automated count	784-9	Qn	H	HP:0005518	.	JGM:azhang[2018-10-12]	.
MCH [Entitic mass] by Automated count	785-6	Qn	L	HP:0025547	.	HPO:nvasilevsky[2018-10-01]	.
MCH [Entitic mass] by Automated count	785-6	Qn	N	HP:0025546	.	HPO:nvasilevsky[2018-10-01]	.
MCH [Entitic mass] by Automated count	785-6	Qn	H	HP:0025548	.	HPO:nvasilevsky[2018-10-01]	.
MCHC [Mass/volume] by Automated count	786-4	Qn	L	HP:0025547	.	OHSU:JP[2018-10-18];JAX:azhang[2019-02-12]	.
MCHC [Mass/volume] by Automated count	786-4	Qn	N	HP:0025546	.	OHSU:JP[2018-10-18];JAX:azhang[2019-02-12]	.
MCHC [Mass/volume] by Automated count	786-4	Qn	H	HP:0025548	.	OHSU:JP[2018-10-18];JAX:azhang[2019-02-12]	.
MCV [Entitic volume] by Automated count	787-2	Qn	L	HP:0025066	.	JGM:Aaron[2018-03-20]	.
MCV [Entitic volume] by Automated count	787-2	Qn	N	HP:0025065	.	JGM:Aaron[2018-03-20]	.
MCV [Entitic volume] by Automated count	787-2	Qn	H	HP:0005518	.	JGM:Aaron[2018-03-20]	.
Erythrocyte distribution width [Ratio] by Automated count	788-0	Qn	N	HP:0031965	.	JGM:azhang[2018-07-24];JGM:azhang[2019-02-25]	.
Erythrocyte distribution width [Ratio] by Automated count	788-0	Qn	H	HP:0031965	.	JGM:azhang[2018-07-24];JGM:azhang[2019-02-25]	.
Erythrocytes [#/volume] in Blood by Automated count	789-8	Qn	L	HP:0020060	.	JGM:azhang[2018-10-12]	.
Erythrocytes [#/volume] in Blood by Automated count	789-8	Qn	N	HP:0020058	.	JGM:azhang[2018-10-12]	.
Erythrocytes [#/volume] in Blood by Automated count	789-8	Qn	H	HP:0020059	.	JGM:azhang[2018-10-12]	.
Erythrocytes [#/volume] in Blood by Manual count	790-6	Qn	L	HP:0020060	.	JGM:azhang[2018-10-12]	.
Erythrocytes [#/volume] in Blood by Manual count	790-6	Qn	N	HP:0020058	.	JGM:azhang[2018-10-12]	.
Erythrocytes [#/volume] in Blood by Manual count	790-6	Qn	H	HP:0020059	.	JGM:azhang[2018-10-12]	.
Erythrocytes [#/volume] in Urine by Automated count	798-9	Qn	N	HP:0000790	.	JGM:azhang[2018-07-24]	.
Erythrocytes [#/volume] in Urine by Automated count	798-9	Qn	H	HP:0000790	.	JGM:azhang[2018-07-24]	.
Erythrocytes [#/volume] in Urine by Manual count	799-7	Qn	N	HP:0000790	.	JGM:azhang[2018-07-24]	.
Erythrocytes [#/volume] in Urine by Manual count	799-7	Qn	H	HP:0000790	.	JGM:azhang[2018-07-24]	.
Schistocytes [Presence] in Blood by Light microscopy	800-3	Ord	NEG	HP:0001981	.	JGM:azhang[2018-07-24]	.
Schistocytes [Presence] in Blood by Light microscopy	800-3	Ord	POS	HP:0001981	.	JGM:azhang[2018-07-24]	.
Leukocytes [#/volume] in Blood by Manual count	804-5	Qn	L	HP:0001882	.	JGM:lccarmody[2019-05-08]	.
Leukocytes [#/volume] in Blood by Manual count	804-5	Qn	N	HP:0011893	.	JGM:lccarmody[2019-05-08]	.
Leukocytes [#/volume] in Blood by Manual count	804-5	Qn	H	HP:0001974	.	JGM:lccarmody[2019-05-08]	.
Direct antiglobulin test.complement specific reagent [Presence] on Red Blood Cells	1004-1	Ord	NEG	HP:0032366	.	JGM:azhang[2019-05-03]	.
Direct antiglobulin test.complement specific reagent [Presence] on Red Blood Cells	1004-1	Ord	POS	HP:0032366	.	JGM:azhang[2019-05-03]	.
Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells	1007-4	Ord	NEG	HP:0032366	.	JGM:azhang[2019-05-03]	.
Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells	1007-4	Ord	POS	HP:0032366	.	JGM:azhang[2019-05-03]	.
Corticotropin [Mass/volume] in Plasma --1.5 hours post dose insulin IV	1358-1	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --1.5 hours post dose insulin IV	1358-1	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --1 hour post 1 ug/kg CRH IV	1359-9	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --1 hour post 1 ug/kg CRH IV	1359-9	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --1 hour post dose insulin IV	1360-7	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --1 hour post dose insulin IV	1360-7	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --1 minute post 1 ug/kg CRH IV	1361-5	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --1 minute post 1 ug/kg CRH IV	1361-5	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --30 minutes post 1 ug/kg CRH IV	1362-3	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --30 minutes post 1 ug/kg CRH IV	1362-3	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --30 minutes post dose insulin IV	1363-1	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --30 minutes post dose insulin IV	1363-1	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --45 minutes post 1 ug/kg CRH IV	1364-9	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --45 minutes post 1 ug/kg CRH IV	1364-9	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --45 minutes post dose insulin IV	1365-6	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --45 minutes post dose insulin IV	1365-6	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --5 minutes post 1 ug/kg CRH IV	1366-4	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --5 minutes post 1 ug/kg CRH IV	1366-4	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --pre 1 ug/kg CRH IV	1367-2	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --pre 1 ug/kg CRH IV	1367-2	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --pre dose insulin IV	1368-0	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-05-24]	.
Corticotropin [Mass/volume] in Plasma --pre dose insulin IV	1368-0	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol Free [Mass/volume] in 24 hour Urine --24 hours post 40 ug corticotropin IM BID 3 day	1389-6	Qn	N	HP:0012029	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol Free [Mass/volume] in 24 hour Urine --24 hours post 40 ug corticotropin IM BID 3 day	1389-6	Qn	H	HP:0012030	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol Free [Mass/volume] in 24 hour Urine --48 hours post 40 ug corticotropin IM BID 3 day	1390-4	Qn	N	HP:0012029	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol Free [Mass/volume] in 24 hour Urine --48 hours post 40 ug corticotropin IM BID 3 day	1390-4	Qn	H	HP:0012030	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol Free [Mass/volume] in 24 hour Urine --72 hours post 40 ug corticotropin IM BID 3 day	1393-8	Qn	N	HP:0012029	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol Free [Mass/volume] in 24 hour Urine --72 hours post 40 ug corticotropin IM BID 3 day	1393-8	Qn	H	HP:0012030	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol Free [Mass/volume] in 24 hour Urine --pre 50 ug corticotropin IM 3 day	1394-6	Qn	N	HP:0012029	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol Free [Mass/volume] in 24 hour Urine --pre 50 ug corticotropin IM 3 day	1394-6	Qn	H	HP:0012030	.	HPO:nvasilevsky[2018-07-18]	.
Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM rapid	1401-9	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM rapid	1401-9	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IV rapid	1402-7	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IV rapid	1402-7	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM	1403-5	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM	1403-5	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --24 hours post 40 ug corticotropin IM BID 3 day	1408-4	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --24 hours post 40 ug corticotropin IM BID 3 day	1408-4	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --24 hours post 500 ug corticotropin IM	1409-2	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --24 hours post 500 ug corticotropin IM	1409-2	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --2 days post 500 ug corticotropin IM	1413-4	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --2 days post 500 ug corticotropin IM	1413-4	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM rapid	1416-7	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM rapid	1416-7	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IV rapid	1417-5	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IV rapid	1417-5	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM	1418-3	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM	1418-3	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --32 hours post 40 ug corticotropin IM BID 3 day	1421-7	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --32 hours post 40 ug corticotropin IM BID 3 day	1421-7	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --3 days post 500 ug corticotropin IM	1422-5	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --3 days post 500 ug corticotropin IM	1422-5	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --48 hours post 40 ug corticotropin IM BID 3 day	1426-6	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --48 hours post 40 ug corticotropin IM BID 3 day	1426-6	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --56 hours post 40 ug corticotropin IM BID 3 day	1430-8	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --56 hours post 40 ug corticotropin IM BID 3 day	1430-8	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --8 hours post 40 ug corticotropin IM BID 3 day	1438-1	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --8 hours post 40 ug corticotropin IM BID 3 day	1438-1	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --pre 40 ug corticotropin IM 3 day	1447-2	Qn	L	HP:0008163	.	HPO:nvasilevsky[2018-05-24]	.
Cortisol [Mass/volume] in Serum or Plasma --pre 40 ug corticotropin IM 3 day	1447-2	Qn	N	HP:0011731	.	HPO:nvasilevsky[2018-05-24]	.
Galactose [Mass/volume] in Blood --1.5 hours post 40 g galactose PO	1479-5	Qn	N	HP:0012024	.	OHSU:JP[2018-09-19]	.
Galactose [Mass/volume] in Blood --1.5 hours post 40 g galactose PO	1479-5	Qn	H	HP:0012024	.	OHSU:JP[2018-09-19]	.
Galactose [Mass/volume] in Blood --1 hour post 40 g galactose PO	1480-3	Qn	N	HP:0012024	.	OHSU:JP[2018-09-19]	.
Galactose [Mass/volume] in Blood --1 hour post 40 g galactose PO	1480-3	Qn	H	HP:0012024	.	OHSU:JP[2018-09-19]	.
